time_key,open,close,high,low,volume
2023-09-14,56.1,63.59,66.28,55.54,130534505.0
2023-09-15,68.63,60.75,69.0,60.75,74753091.0
2023-09-18,57.95,58.0,58.7407,55.02,34571903.0
2023-09-19,56.25,55.17,56.78,53.88,18308644.0
2023-09-20,55.17,52.91,55.4,51.52,16369470.0
2023-09-21,51.78,52.16,52.8,49.85,15010920.0
2023-09-22,52.9,51.32,52.9,50.3548,8430168.0
2023-09-25,51.12,54.44,54.5,50.02,12896541.0
2023-09-26,53.93,53.52,54.53,52.7,6283544.0
2023-09-27,54.4,52.99,54.4099,51.7894,6866740.0
2023-09-28,53.5,55.49,56.5,52.86,8765755.0
2023-09-29,56.21,53.52,56.79,53.08,7810025.0
2023-10-02,53.475,52.26,54.1899,51.91,8857088.0
2023-10-03,51.96,51.57,52.235,50.8,4687735.0
2023-10-04,51.97,53.46,53.81,51.31,6206459.0
2023-10-05,53.9,52.51,53.9,52.09,2984420.0
2023-10-06,52.72,54.08,54.21,51.55,4009236.0
2023-10-09,54.4,54.25,55.8,53.37,7197706.0
2023-10-10,55.24,55.71,55.86,54.2,5138144.0
2023-10-11,56.17,54.68,56.33,54.38,4454722.0
2023-10-12,54.75,51.85,54.75,51.41,7323145.0
2023-10-13,52.5,50.78,52.56,50.0,6462484.0
2023-10-16,51.04,52.09,52.35,51.04,3316789.0
2023-10-17,51.0,52.29,52.76,50.65,2549709.0
2023-10-18,52.28,51.9,52.7,51.275,2268871.0
2023-10-19,52.0,49.74,52.7,49.53,4553360.0
2023-10-20,49.74,47.87,49.74,46.5,8089129.0
2023-10-23,47.22,50.21,51.88,46.5,9979286.0
2023-10-24,52.0,52.37,52.8917,51.05,7211721.0
2023-10-25,52.7,49.44,52.79,49.31,4518810.0
2023-10-26,50.06,50.17,51.11,49.5,3555300.0
2023-10-27,51.26,49.09,51.33,48.81,2611336.0
2023-10-30,49.51,47.9,49.9,47.28,3677661.0
2023-10-31,47.9,49.29,49.66,47.12,3248684.0
2023-11-01,49.61,50.52,50.52,48.3,3066410.0
2023-11-02,51.4,52.82,53.56,51.3,4752687.0
2023-11-03,52.82,53.49,53.86,52.25,2545035.0
2023-11-06,53.98,53.1,54.46,52.52,2328270.0
2023-11-07,53.45,55.27,56.1,53.26,4534176.0
2023-11-08,55.27,54.4,55.56,53.39,6128231.0
2023-11-09,51.0,51.58,52.05,49.82,15354467.0
2023-11-10,52.0,52.27,52.5,51.01,5803942.0
2023-11-13,52.2,51.69,52.5,50.57,4524968.0
2023-11-14,53.0,53.43,53.5,52.28,3541284.0
2023-11-15,54.4,55.43,56.03,54.08,5821817.0
2023-11-16,55.51,54.23,55.6799,53.47,3291412.0
2023-11-17,55.11,54.99,55.74,54.26,3443898.0
2023-11-20,55.35,58.68,59.24,55.27,7808006.0
2023-11-21,58.0,58.66,58.9,56.43,5615415.0
2023-11-22,59.0,61.76,64.92,59.0,15119683.0
2023-11-24,61.5,63.88,64.2,61.41,6004929.0
2023-11-27,63.05,61.0,63.69,60.99,6681872.0
2023-11-28,60.84,61.92,62.68,60.79,4106892.0
2023-11-29,62.52,62.21,63.41,61.69,3642374.0
2023-11-30,62.58,61.5,63.5,60.91,4833273.0
2023-12-01,61.51,63.9,64.43,60.91,5446185.0
2023-12-04,63.9,61.93,63.9,60.8,5012171.0
2023-12-05,61.73,63.59,64.349,60.37,6666904.0
2023-12-06,64.35,61.06,64.69,60.89,5434419.0
2023-12-07,61.52,62.44,62.97,61.2,3139112.0
2023-12-08,62.44,67.23,67.4399,62.235,18815931.0
2023-12-11,67.26,64.89,67.26,64.29,7625495.0
2023-12-12,65.0,64.71,66.25,63.28,5711703.0
2023-12-13,65.41,65.61,66.5,62.75,7023954.0
2023-12-14,66.52,70.735,71.79,66.37,11835036.0
2023-12-15,70.5,71.03,71.89,69.29,7058443.0
2023-12-18,69.96,68.87,70.0915,68.02,4744779.0
2023-12-19,69.23,69.43,70.5499,68.81,3899291.0
2023-12-20,69.5,68.4,72.9897,68.38,8177594.0
