time_key,open,close,high,low,volume
2018-07-25,18.7,25.0,25.0,18.5,13709519.0
2018-07-26,24.745,21.01,24.85,20.3,3628317.0
2018-07-27,21.2,22.6,23.0,21.2,1321229.0
2018-07-30,22.75,23.85,24.0,22.65,1236290.0
2018-07-31,24.03,23.05,26.43,22.75,2603376.0
2018-08-01,23.67,23.5,24.8,22.6,952868.0
2018-08-02,23.5,24.5,25.12,23.5,683600.0
2018-08-03,24.63,26.8,27.1,24.5,904200.0
2018-08-06,27.07,27.94,29.875,26.9,1523378.0
2018-08-07,28.66,27.45,28.749,27.13,907291.0
2018-08-08,27.89,28.15,28.25,26.5,1160509.0
2018-08-09,28.0,26.72,28.03,26.6,403144.0
2018-08-10,26.84,27.65,28.0,26.3,431516.0
2018-08-13,27.65,24.76,27.65,24.71,711408.0
2018-08-14,25.1,25.51,25.8632,25.0,300814.0
2018-08-15,25.8,22.91,25.8,22.78,822385.0
2018-08-16,23.5,23.13,23.92,22.9001,567353.0
2018-08-17,23.63,22.2,23.63,22.19,602046.0
2018-08-20,22.0,22.42,23.1059,21.75,1187727.0
2018-08-21,22.85,25.27,25.8,22.61,1267442.0
2018-08-22,25.02,27.0,27.5,24.8,883967.0
2018-08-23,27.21,29.28,29.5,27.1921,1313349.0
2018-08-24,29.25,30.91,33.25,29.2412,1597636.0
2018-08-27,29.0,28.69,30.44,28.1601,1370178.0
2018-08-28,28.62,29.55,30.59,28.5,668756.0
2018-08-29,29.69,29.15,29.75,28.61,520445.0
2018-08-30,28.87,28.75,29.02,28.11,527497.0
2018-08-31,28.4,29.95,30.18,28.07,494786.0
2018-09-04,30.0,28.5,30.05,28.1325,652074.0
2018-09-05,28.19,28.21,28.63,26.355,543044.0
2018-09-06,28.0,28.7,28.84,28.0,241468.0
2018-09-07,28.64,30.58,31.13,28.085,646464.0
2018-09-10,31.33,29.05,31.4499,27.36,1018945.0
2018-09-11,29.0,29.26,29.54,27.86,362448.0
2018-09-12,29.41,31.91,32.0899,29.1401,503589.0
2018-09-13,31.91,31.68,33.89,30.55,929559.0
2018-09-14,31.22,29.58,31.3,28.9,641291.0
2018-09-17,29.45,29.0,30.371,28.72,290173.0
2018-09-18,28.94,29.92,29.92,28.9,295180.0
2018-09-19,30.03,29.25,31.06,28.97,458835.0
2018-09-20,29.55,30.01,30.5487,29.3973,223991.0
2018-09-21,30.05,30.95,33.05,29.9398,1701158.0
2018-09-24,31.0,32.25,32.75,30.66,399356.0
2018-09-25,32.55,34.08,34.88,32.5102,535860.0
2018-09-26,34.6,35.8,36.59,34.25,584622.0
2018-09-27,36.0,33.6,38.0,33.23,870127.0
2018-09-28,33.72,34.08,35.52,33.01,431695.0
2018-10-01,34.18,32.27,34.4812,32.0,318210.0
2018-10-02,32.3,30.22,32.91,30.17,379939.0
2018-10-03,30.38,30.25,30.92,29.1,527259.0
2018-10-04,30.24,28.34,30.45,28.24,554279.0
2018-10-05,28.34,27.37,29.369,26.11,725057.0
2018-10-08,27.37,27.07,27.37,25.2,680179.0
2018-10-09,26.87,26.1,27.6509,26.01,381567.0
2018-10-10,25.94,27.54,28.5,25.25,819371.0
2018-10-11,27.21,27.38,28.01,25.61,506071.0
2018-10-12,27.5,26.68,28.34,26.271,270498.0
2018-10-15,26.31,26.6,26.8966,25.65,214498.0
2018-10-16,26.48,27.18,27.8,26.48,318471.0
2018-10-17,27.18,27.32,27.67,27.03,230642.0
2018-10-18,27.0,25.57,27.37,25.37,262552.0
2018-10-19,25.36,25.51,26.08,25.21,293947.0
2018-10-22,25.61,24.15,25.9999,24.0301,365349.0
2018-10-23,23.88,23.82,24.112,21.96,507653.0
2018-10-24,23.82,23.92,24.4199,23.5001,458868.0
2018-10-25,23.98,23.44,24.11,22.71,458611.0
2018-10-26,23.13,22.17,23.9099,22.1,456216.0
2018-10-29,22.23,22.03,23.02,21.8011,352363.0
2018-10-30,21.96,22.98,23.03,21.5388,375311.0
2018-10-31,23.67,23.75,24.95,23.26,505342.0
2018-11-01,23.97,23.74,24.26,23.64,233355.0
2018-11-02,24.02,22.96,24.18,22.72,400049.0
2018-11-05,22.9,23.01,23.58,22.05,373181.0
2018-11-06,20.95,17.25,20.95,17.11,2812216.0
2018-11-07,17.77,18.01,18.63,17.26,1307943.0
2018-11-08,17.96,18.09,18.44,17.9156,434329.0
