time_key,open,close,high,low,volume
2021-01-04,11.1252,10.8,11.2499,10.5,150491.0
2021-01-05,10.85,11.11,11.83,10.75,165312.0
2021-01-06,11.5,11.05,11.5,11.0,175597.0
2021-01-07,11.5,11.11,11.5,11.05,94302.0
2021-01-08,11.65,11.01,12.35,11.0,137470.0
2021-01-11,11.8,11.17,11.8,10.8,162646.0
2021-01-12,11.8,11.18,11.8,11.07,210706.0
2021-01-13,11.34,11.2,11.37,10.97,386105.0
2021-01-14,11.31,11.44,11.7,11.225,291118.0
2021-01-15,11.57,11.22,11.79,11.11,269711.0
2021-01-19,11.4,11.32,11.48,11.09,574096.0
2021-01-20,11.33,11.32,11.45,11.25,434250.0
2021-01-21,11.39,11.5,11.72,11.24,401628.0
2021-01-22,11.55,12.0,12.2,11.5,503899.0
2021-01-25,12.5,12.09,12.58,11.8,621123.0
2021-01-26,12.38,11.91,12.45,11.83,695021.0
2021-01-27,11.52,11.45,11.68,11.26,919681.0
2021-01-28,11.5,11.37,11.68,11.35,183553.0
2021-01-29,11.42,11.35,11.45,11.1,230928.0
2021-02-01,11.45,11.55,11.68,11.4,244758.0
2021-02-02,11.77,11.9,12.12,11.72,159605.0
2021-02-03,11.98,12.0,12.21,11.96,164570.0
2021-02-04,12.15,11.99,12.21,11.93,141966.0
2021-02-05,12.2,11.76,12.2,11.74,162389.0
2021-02-08,11.98,11.78,11.98,11.58,527863.0
2021-02-09,11.77,11.99,11.99,11.56,240614.0
2021-02-10,11.86,11.88,11.91,11.65,151344.0
2021-02-11,11.88,11.77,11.94,11.56,83288.0
2021-02-12,11.65,11.8,11.8,11.61,117201.0
2021-02-16,11.8,11.7,11.89,11.61,265468.0
2021-02-17,11.85,11.81,11.85,11.67,177356.0
2021-02-18,12.27,12.24,12.46,12.11,460259.0
2021-02-19,12.37,12.71,13.19,12.37,424275.0
2021-02-22,12.66,12.75,13.29,12.5579,506923.0
2021-02-23,12.25,12.14,12.32,11.4,379651.0
2021-02-24,14.05,14.44,15.39,13.61,7375259.0
2021-02-25,14.0,13.12,14.56,13.0326,2067367.0
2021-02-26,13.34,14.47,14.8,12.6,1714829.0
2021-03-01,14.61,14.6,14.84,13.7,960549.0
2021-03-02,14.5,12.86,14.75,12.86,830073.0
2021-03-03,13.0,11.87,13.15,11.73,1067132.0
2021-03-04,11.95,11.97,12.15,10.86,1296397.0
2021-03-05,12.05,12.7,12.8,11.52,959814.0
2021-03-08,12.15,10.9,12.29,10.76,5674018.0
2021-03-09,11.32,11.31,11.5,10.91,2175411.0
2021-03-10,11.7,11.08,11.88,10.8,2130519.0
2021-03-11,11.2,11.2,11.36,11.0,1644347.0
2021-03-12,11.07,11.51,11.6,11.05,1135857.0
2021-03-15,11.92,11.53,11.93,11.2,1468795.0
2021-03-16,11.38,11.02,11.58,10.96,1387333.0
2021-03-17,10.94,11.0,11.22,10.9,1278661.0
2021-03-18,10.95,10.81,11.15,10.78,877740.0
2021-03-19,10.77,11.05,11.05,10.75,475170.0
2021-03-22,11.25,10.94,11.25,10.86,564320.0
2021-03-23,10.89,10.63,10.9603,10.5,732164.0
2021-03-24,10.65,10.52,10.78,10.5,972269.0
2021-03-25,10.5,10.56,10.62,10.18,1178234.0
