time_key,open,close,high,low,volume
2018-01-02,49.35,50.15,50.375,48.6,1287045.0
2018-01-03,51.15,50.9,51.27,49.85,1192759.0
2018-01-04,51.3,50.2,51.65,49.075,1744583.0
2018-01-05,50.4,51.1,51.3,49.35,1267171.0
2018-01-08,51.45,51.75,52.1,50.4,1400160.0
2018-01-09,51.8,50.45,51.85,50.1,2016557.0
2018-01-10,51.85,51.65,51.85,50.55,1936317.0
2018-01-11,51.7,53.0,53.65,51.7,1691217.0
2018-01-12,53.45,53.2,53.85,52.25,1356543.0
2018-01-16,53.2,51.65,53.45,50.6,2774228.0
2018-01-17,51.65,51.5,52.4,50.55,1573979.0
2018-01-18,51.15,51.7,51.85,50.15,1842433.0
2018-01-19,51.8,48.85,51.8,48.6,3096573.0
2018-01-22,48.05,45.2,48.1,44.3,6347745.0
2018-01-23,45.65,44.1,45.79,43.15,4286351.0
2018-01-24,43.85,44.45,44.55,42.6,4146643.0
2018-01-25,44.5,44.5,44.99,43.7,2353595.0
2018-01-26,44.2,44.25,44.7,43.8,2111661.0
2018-01-29,45.35,44.35,45.95,44.0,2697320.0
2018-01-30,43.85,44.95,46.0,43.85,1665724.0
2018-01-31,46.2,46.3,46.575,45.25,2485527.0
2018-02-01,46.0,47.9,48.45,45.8,2969119.0
2018-02-02,47.8,44.85,47.9,44.5,3169697.0
2018-02-05,44.5,42.6,45.75,41.95,2711941.0
2018-02-06,46.5,51.65,52.4,46.1,9851472.0
2018-02-07,52.5,53.6,55.95,52.2,5748693.0
2018-02-08,53.25,55.4,56.925,53.25,4322268.0
2018-02-09,55.85,57.2,57.75,54.75,3771416.0
2018-02-12,57.76,56.9,58.2,55.6,1967650.0
2018-02-13,55.05,57.55,57.95,54.71,2135718.0
2018-02-14,56.75,57.1,57.962,56.55,2077078.0
2018-02-15,57.35,58.45,58.55,56.2,1976841.0
2018-02-16,58.05,59.05,59.2,57.525,1725705.0
2018-02-20,58.5,58.75,59.6,58.35,1661650.0
2018-02-21,58.8,58.8,59.975,58.45,1356216.0
2018-02-22,58.55,58.1,59.35,57.755,1156426.0
2018-02-23,58.3,59.4,59.65,57.5,1392805.0
2018-02-26,59.5,60.55,60.6,59.25,1434268.0
2018-02-27,60.3,60.1,60.85,59.555,1018049.0
2018-02-28,60.0,61.0,62.05,59.3,1712257.0
2018-03-01,61.3,61.55,62.45,60.625,1704693.0
2018-03-02,61.05,63.275,63.75,60.7,1862691.0
2018-03-05,63.15,63.9,64.7,62.7,1658017.0
2018-03-06,64.55,65.3,65.75,63.55,1683739.0
2018-03-07,64.4,65.3,66.0,64.3,1518767.0
2018-03-08,65.4,65.35,67.4,64.81,1824150.0
2018-03-09,65.9,68.975,69.25,65.75,2549049.0
2018-03-12,71.0,72.0,74.4,70.4,6371346.0
2018-03-13,72.55,71.9,73.55,71.15,2040422.0
2018-03-14,72.0,73.2,73.85,71.55,1818297.0
2018-03-15,73.75,71.2,74.05,70.25,1915863.0
2018-03-16,71.3,69.9,71.5,69.15,2337826.0
2018-03-19,69.3,69.05,70.6,67.05,1773001.0
2018-03-20,69.45,69.4,70.95,68.825,989777.0
2018-03-21,69.1,69.8,71.45,69.1,1600838.0
2018-03-22,69.1,69.05,71.0,68.85,1302280.0
2018-03-23,68.8,67.35,69.55,67.35,1852297.0
2018-03-26,68.5,67.95,69.245,67.1,1279045.0
2018-03-27,68.25,66.4,69.5,65.825,1666605.0
2018-03-28,64.55,62.2,65.1,62.0,3071940.0
2018-03-29,62.5,63.8,64.4,61.55,2220825.0
2018-04-02,63.1,61.5,64.15,60.75,2021952.0
2018-04-03,61.85,60.4,62.475,60.025,11669596.0
2018-04-04,59.0,62.3,62.55,58.45,2394522.0
2018-04-05,63.25,60.5,64.365,60.5,2130558.0
2018-04-06,60.0,59.15,61.0,58.15,1873794.0
2018-04-09,59.85,59.3,60.8,58.5,1580930.0
2018-04-10,60.35,60.75,61.1,59.85,1136295.0
2018-04-11,60.75,63.5,63.95,60.75,1735487.0
2018-04-12,63.85,64.25,65.55,63.45,1892148.0
2018-04-13,64.2,64.3,64.7,62.75,1588203.0
2018-04-16,58.95,58.475,60.5,57.1,5955718.0
2018-04-17,59.4,61.95,63.25,59.35,2929471.0
2018-04-18,61.75,63.05,63.25,60.5,1274771.0
2018-04-19,61.6,60.05,61.8,59.75,2037627.0
2018-04-20,60.05,58.85,60.5,58.775,1421479.0
2018-04-23,59.55,54.45,60.1,53.5,5555589.0
2018-04-24,54.8,55.45,56.25,53.45,2580931.0
2018-04-25,55.7,51.2,56.4,50.15,3958022.0
2018-04-26,51.5,51.8,52.645,50.85,1375729.0
2018-04-27,52.15,50.2,52.75,50.05,1819382.0
2018-04-30,50.75,50.45,51.85,50.45,1594868.0
2018-05-01,50.3,52.65,52.95,50.271,2720614.0
2018-05-02,59.0,58.5,61.75,56.9,4978936.0
2018-05-03,57.75,58.6,59.15,57.15,1821123.0
2018-05-04,58.65,58.95,60.1,58.4,1286719.0
2018-05-07,59.25,61.45,62.25,59.05,1931410.0
2018-05-08,61.35,63.55,63.55,61.2,1415087.0
2018-05-09,63.6,63.65,63.825,62.275,1197320.0
2018-05-10,63.65,63.35,64.1,62.825,1167277.0
2018-05-11,63.05,63.1,63.9,62.35,1115136.0
2018-05-14,66.45,64.5,67.35,64.15,1963131.0
