time_key,open,close,high,low,volume
2018-01-02,77.31,79.69,80.27,77.31,2474756.0
2018-01-03,79.82,78.59,80.24,78.25,1745406.0
2018-01-04,78.61,79.85,80.01,78.3,1669563.0
2018-01-05,80.0,79.43,80.46,79.18,1593080.0
2018-01-08,81.5,79.04,81.92,77.44,3043333.0
2018-01-09,79.0,79.51,79.76,78.74,1482084.0
2018-01-10,79.18,78.86,79.44,78.584,1141523.0
2018-01-11,79.29,78.99,79.33,78.39,913010.0
2018-01-12,79.67,78.84,79.67,78.53,1223492.0
2018-01-16,78.95,76.7,78.98,76.45,1525851.0
2018-01-17,77.08,77.92,78.39,76.81,1254617.0
2018-01-18,78.07,77.57,78.758,77.32,1130934.0
2018-01-19,77.73,79.34,79.7,77.67,1369844.0
2018-01-22,79.41,78.96,79.64,78.601,1211661.0
2018-01-23,78.88,79.7,79.925,78.53,822529.0
2018-01-24,79.89,79.2,79.96,78.22,853674.0
2018-01-25,79.08,78.62,79.389,78.04,935176.0
2018-01-26,78.62,79.08,79.4,78.23,773174.0
2018-01-29,78.81,79.96,80.64,78.64,1079203.0
2018-01-30,79.65,79.48,79.78,78.54,643142.0
2018-01-31,79.47,78.21,80.049,77.98,1058380.0
2018-02-01,77.23,78.81,79.25,77.01,1492402.0
2018-02-02,78.79,78.62,79.78,78.17,1593823.0
2018-02-05,77.99,77.41,79.88,77.4,2085717.0
2018-02-06,75.66,78.62,78.88,74.9,4084512.0
2018-02-07,78.77,80.99,82.359,78.65,3060503.0
2018-02-08,81.75,76.67,83.31,76.63,2618557.0
2018-02-09,77.51,77.15,79.0,75.43,2674196.0
2018-02-12,77.61,76.8,78.44,76.79,2512079.0
2018-02-13,76.86,77.27,77.72,76.73,3424234.0
2018-02-14,76.63,81.22,81.829,76.6,3190296.0
2018-02-15,81.26,80.92,81.54,78.43,2867832.0
2018-02-16,80.85,81.4,82.64,80.5,1545514.0
2018-02-20,80.87,80.58,81.4,80.17,1365319.0
2018-02-21,80.58,81.16,82.565,80.44,1297326.0
2018-02-22,81.25,80.83,82.21,80.71,1689669.0
2018-02-23,81.3,81.86,82.0,79.9,1285641.0
2018-02-26,82.43,82.33,83.0,81.215,827456.0
2018-02-27,82.65,80.46,83.59,80.39,1409731.0
2018-02-28,81.01,81.1,82.44,80.95,1945571.0
2018-03-01,81.01,81.04,81.94,79.81,1376924.0
2018-03-02,79.78,82.07,82.29,79.36,887545.0
2018-03-05,81.64,81.13,82.24,80.76,1218417.0
2018-03-06,81.18,83.69,83.98,80.87,2864745.0
2018-03-07,82.91,81.32,83.49,80.64,1724652.0
2018-03-08,81.75,80.75,81.99,80.29,1040185.0
2018-03-09,81.18,81.0,82.01,80.09,1589703.0
2018-03-12,81.17,80.33,81.635,79.61,1528242.0
2018-03-13,80.97,79.8,81.55,79.785,1632882.0
2018-03-14,79.95,80.75,80.95,78.66,2110510.0
2018-03-15,80.73,79.61,81.63,79.4,985266.0
2018-03-16,79.47,80.76,81.46,79.47,1233412.0
2018-03-19,81.03,80.28,81.03,79.78,1144099.0
2018-03-20,80.25,81.48,81.592,80.02,1137169.0
2018-03-21,81.48,80.7,81.87,80.31,1685998.0
2018-03-22,80.0,81.1,81.29,80.0,1706439.0
2018-03-23,81.1,79.51,82.21,79.26,2183242.0
2018-03-26,80.19,80.34,80.52,78.32,2603743.0
2018-03-27,80.53,78.71,80.71,77.97,4006527.0
2018-03-28,84.25,85.96,87.98,83.06,10706756.0
2018-03-29,86.79,89.12,89.54,86.32,4849367.0
2018-04-02,89.01,87.27,90.25,86.65,3081222.0
2018-04-03,87.44,88.67,88.99,87.41,1973982.0
2018-04-04,87.99,88.24,88.759,87.358,2757613.0
2018-04-05,88.85,91.27,91.44,88.24,3138469.0
2018-04-06,91.08,89.61,91.35,88.69,3203293.0
2018-04-09,90.0,89.64,90.847,89.35,1625889.0
2018-04-10,90.38,91.01,91.19,90.07,939740.0
2018-04-11,90.66,91.08,91.84,90.505,1606228.0
2018-04-12,91.26,92.02,92.13,90.88,1267261.0
2018-04-13,92.33,91.71,92.89,91.192,2017723.0
2018-04-16,92.0,93.76,93.81,91.75,1981624.0
2018-04-17,94.62,94.6,94.85,94.03,2228340.0
2018-04-18,94.41,95.0,95.66,94.41,2375771.0
2018-04-19,95.0,95.29,95.58,94.28,1531966.0
2018-04-20,95.31,96.31,96.37,95.13,2018946.0
2018-04-23,94.26,96.64,96.96,94.2,2778693.0
2018-04-24,97.48,96.9,97.98,96.47,2171057.0
2018-04-25,97.64,97.85,97.97,96.64,1463390.0
2018-04-26,97.98,98.42,98.81,97.85,1668702.0
2018-04-27,98.54,99.17,99.393,98.31,2035406.0
2018-04-30,99.58,99.8,100.57,99.35,1497098.0
2018-05-01,99.45,99.7,99.93,98.76,1299801.0
2018-05-02,99.89,99.74,100.73,99.4,1244457.0
2018-05-03,99.07,99.86,100.4466,99.001,1443112.0
2018-05-04,99.49,95.49,99.65,95.39,3797555.0
2018-05-07,95.76,97.17,97.51,95.76,2420912.0
2018-05-08,96.83,98.2,98.28,96.789,1007098.0
2018-05-09,98.19,98.96,99.06,97.44,919285.0
2018-05-10,99.31,97.91,99.46,97.28,1167637.0
2018-05-11,97.77,98.54,98.7,97.554,910635.0
2018-05-14,98.94,98.72,98.97,98.04,1508143.0
2018-05-15,98.21,98.95,99.91,97.78,1135922.0
2018-05-16,99.4,101.65,101.94,99.0,1430148.0
2018-05-17,101.72,102.0,103.04,101.37,1106746.0
2018-05-18,101.5,102.82,103.1199,101.5,1684771.0
2018-05-21,103.49,103.74,105.262,103.16,1864781.0
2018-05-22,103.75,102.88,104.13,102.751,1806920.0
2018-05-23,102.55,105.27,106.54,102.02,2691229.0
2018-05-24,105.06,106.41,106.68,104.865,1763697.0
2018-05-25,107.04,106.18,107.49,105.76,1536550.0
2018-05-29,106.25,105.68,107.6757,105.51,2100714.0
2018-05-30,105.94,105.63,106.98,104.601,3369685.0
2018-05-31,106.15,105.05,106.462,103.8,4994813.0
2018-06-01,113.95,122.19,123.84,113.2,14155520.0
2018-06-04,122.6233,124.98,125.1,121.53,3986191.0
2018-06-05,124.7,124.05,125.77,123.92,2776335.0
2018-06-06,124.17,124.19,126.8531,123.88,2471331.0
2018-06-07,124.7,122.7,126.47,122.22,2647639.0
2018-06-08,121.47,122.02,122.95,120.5901,3347530.0
2018-06-11,122.72,122.37,122.75,120.55,2779756.0
2018-06-12,122.52,124.96,125.23,122.15,1958957.0
2018-06-13,125.38,125.13,127.344,124.68,3320763.0
2018-06-14,125.09,125.88,126.4246,124.64,2075804.0
2018-06-15,124.21,128.37,128.91,123.55,2195275.0
2018-06-18,127.59,129.69,129.79,126.9,1805452.0
2018-06-19,128.3,128.1,129.32,126.83,2022274.0
2018-06-20,128.49,128.27,128.51,127.07,1237683.0
2018-06-21,128.54,127.71,129.58,126.73,1304259.0
2018-06-22,128.6,124.18,128.6,124.17,2792042.0
2018-06-25,124.26,124.86,126.43,122.47,1916088.0
2018-06-26,127.0,126.79,127.6,125.28,1620028.0
2018-06-27,126.5,123.88,127.59,123.05,1618984.0
2018-06-28,123.79,124.94,125.255,122.78,1816183.0
2018-06-29,126.24,124.85,127.489,124.85,1142970.0
2018-07-02,124.99,125.48,125.53,123.23,1387096.0
2018-07-03,126.12,125.23,126.8,124.97,1280845.0
2018-07-05,125.81,124.52,125.81,123.95,1323577.0
2018-07-06,124.73,128.54,128.88,124.5,2077243.0
2018-07-09,130.0,126.53,130.49,125.8813,2049068.0
2018-07-10,126.85,127.38,128.23,126.2724,1224783.0
2018-07-11,126.19,125.66,126.45,124.62,1060664.0
2018-07-12,126.47,125.72,126.64,125.02,762824.0
2018-07-13,125.94,125.45,126.83,124.91,880973.0
2018-07-16,125.27,127.26,127.49,124.79,905275.0
2018-07-17,127.02,129.45,130.4073,127.02,2422951.0
2018-07-18,129.36,128.81,129.95,127.52,1155809.0
2018-07-19,128.7,127.79,129.01,127.0,1070008.0
2018-07-20,127.6,126.45,128.9,126.29,1409531.0
2018-07-23,126.45,125.37,126.97,125.07,1273797.0
2018-07-24,125.93,122.98,126.39,122.4,1689140.0
2018-07-25,123.66,125.03,125.49,122.94,1360433.0
2018-07-26,124.75,124.49,126.16,123.19,1003925.0
2018-07-27,124.42,120.0,124.92,118.85,1858198.0
2018-07-30,120.04,118.84,121.25,118.65,1303201.0
2018-07-31,118.86,119.95,120.645,117.655,1073702.0
2018-08-01,120.18,120.55,121.81,119.55,1886239.0
2018-08-02,120.93,124.39,125.22,120.53,1793678.0
2018-08-03,124.35,126.08,126.33,124.35,1984097.0
2018-08-06,125.99,126.31,126.52,124.38,1267217.0
2018-08-07,127.08,125.58,127.2973,124.99,1442375.0
2018-08-08,125.77,127.18,127.65,124.85,1534491.0
2018-08-09,127.74,128.16,128.69,127.11,925596.0
2018-08-10,127.48,130.52,130.76,126.78,1881857.0
2018-08-13,131.08,129.94,131.88,129.29,1786810.0
2018-08-14,130.5,129.47,130.92,127.59,1860091.0
2018-08-15,128.9,126.45,128.9,125.06,1320954.0
2018-08-16,129.2,129.47,130.48,127.17,1336442.0
2018-08-17,130.25,130.19,130.9,129.0799,1061577.0
2018-08-20,130.93,136.67,137.19,130.305,2691658.0
2018-08-21,137.3,135.61,139.64,134.69,1593885.0
2018-08-22,136.28,135.48,138.24,135.38,1294307.0
2018-08-23,135.49,136.2,137.575,134.61,1049741.0
2018-08-24,137.15,138.76,140.33,136.68,1884429.0
2018-08-27,139.22,138.16,140.4162,137.79,1469325.0
2018-08-28,138.32,138.68,139.2734,137.12,1907651.0
2018-08-29,138.7,138.7,138.939,135.08,2154558.0
2018-08-30,137.8,137.0,138.38,135.69,4293389.0
2018-08-31,153.3,154.93,159.79,153.01,14304209.0
2018-09-04,154.86,157.29,160.0,154.71,4466317.0
2018-09-05,157.17,152.74,157.29,152.08,2638359.0
2018-09-06,153.57,151.0,154.97,150.78,2365910.0
2018-09-07,150.74,150.82,153.99,150.59,2052366.0
2018-09-10,151.5,154.11,154.78,151.5,1365495.0
2018-09-11,154.17,153.23,155.25,152.2,1486718.0
2018-09-12,153.3,153.01,154.07,150.87,1372282.0
2018-09-13,153.16,154.6,154.815,152.2,1275833.0
2018-09-14,154.73,153.71,155.64,152.47,1193489.0
2018-09-17,159.1,155.38,160.68,154.8201,2619970.0
2018-09-18,155.69,158.44,158.94,153.8,1434287.0
2018-09-19,158.63,155.21,158.63,154.0486,1621163.0
2018-09-20,155.45,155.97,156.4,154.39,1241427.0
2018-09-21,156.59,156.99,158.131,154.63,2070889.0
2018-09-24,156.79,157.34,157.78,156.03,1196230.0
2018-09-25,157.55,158.41,159.08,157.08,1220388.0
2018-09-26,157.75,158.96,159.88,156.77,1010510.0
2018-09-27,160.0,161.24,161.5,158.66,1682770.0
2018-09-28,161.25,162.49,164.1399,161.25,1525269.0
2018-10-01,163.8,161.64,164.79,161.19,1012953.0
2018-10-02,162.88,160.2,163.13,160.0,1336206.0
2018-10-03,161.25,161.52,161.83,159.35,1237664.0
2018-10-04,160.22,157.04,161.08,156.33,1485159.0
2018-10-05,156.69,153.84,158.34,151.4552,2134134.0
2018-10-08,153.02,150.78,154.915,148.34,2739478.0
2018-10-09,149.84,150.25,153.45,149.0,1592442.0
2018-10-10,149.17,140.68,149.555,140.4,2542645.0
2018-10-11,139.29,140.51,144.91,137.68,2169455.0
2018-10-12,145.53,143.71,146.9,141.07,3529003.0
2018-10-15,146.79,144.46,146.979,142.86,1626363.0
2018-10-16,145.56,146.83,147.22,142.97,1859852.0
2018-10-17,146.98,143.57,147.77,142.75,1286654.0
2018-10-18,143.09,142.68,145.65,140.92,1747956.0
2018-10-19,143.48,136.77,144.1,136.53,2090713.0
2018-10-22,136.47,139.95,140.9,136.0249,1979260.0
2018-10-23,137.21,137.43,137.7151,133.13,2004375.0
2018-10-24,140.8,134.29,140.9666,134.16,1771240.0
2018-10-25,134.31,137.22,138.59,134.0,1664860.0
2018-10-26,134.49,134.82,136.6699,133.14,1712434.0
2018-10-29,136.69,135.88,139.15,133.95,1726755.0
2018-10-30,135.36,142.13,142.63,135.12,2120921.0
2018-10-31,143.75,140.73,146.6,140.66,2360958.0
2018-11-01,141.66,144.17,144.65,138.97,1664996.0
2018-11-02,145.37,142.02,145.45,140.04,1499390.0
2018-11-05,143.28,142.2,143.84,139.15,1515135.0
2018-11-06,141.83,141.13,143.6,139.92,1402599.0
2018-11-07,141.77,143.23,144.56,139.681,1706458.0
2018-11-08,143.27,142.27,143.79,140.11,1516365.0
2018-11-09,141.39,137.56,142.0,136.38,1693828.0
2018-11-12,137.28,135.42,138.36,134.66,1740043.0
2018-11-13,135.53,138.7,140.35,134.65,1835278.0
2018-11-14,140.87,140.13,144.07,138.375,2621615.0
2018-11-15,138.33,139.83,139.98,134.7,1850430.0
2018-11-16,138.08,134.53,138.08,134.35,1788059.0
2018-11-19,134.5,126.99,135.875,126.62,2698717.0
2018-11-20,119.45,121.39,124.95,118.52,3049373.0
2018-11-21,122.19,123.88,124.6251,121.865,1888153.0
2018-11-23,122.5,120.86,124.01,120.61,841390.0
2018-11-26,122.04,123.76,125.42,121.87,3322115.0
2018-11-27,122.9,122.77,124.3403,121.4,1465074.0
2018-11-28,123.94,128.99,129.285,123.94,2213257.0
2018-11-29,128.03,129.46,130.4375,126.84,2086991.0
2018-11-30,129.25,132.55,133.26,129.25,2660809.0
2018-12-03,137.0,139.89,140.08,134.1,3653981.0
2018-12-04,139.5,133.62,139.58,131.325,3244333.0
2018-12-06,133.0,131.44,134.71,126.5576,5622338.0
2018-12-07,132.0,113.87,136.26,113.61,8058719.0
2018-12-10,113.35,115.01,116.59,112.3655,3938225.0
2018-12-11,117.03,116.85,119.9344,115.8,3046968.0
2018-12-12,120.21,122.65,123.53,118.5,4589574.0
2018-12-13,122.99,120.2,125.8,118.15,4675637.0
2018-12-14,118.43,119.12,122.15,117.61,2954282.0
2018-12-17,119.83,118.87,122.0,117.5,3901535.0
2018-12-18,120.02,119.2,122.41,118.38,3708818.0
2018-12-19,119.52,115.71,120.77,114.15,2759249.0
2018-12-20,114.83,115.01,118.21,111.34,3271597.0
2018-12-21,116.76,113.74,119.75,113.53,5420480.0
2018-12-24,112.21,113.26,115.885,110.71,1627002.0
2018-12-26,114.13,122.66,122.74,114.1,2557300.0
2018-12-27,120.64,123.34,124.18,118.69,1950614.0
2018-12-28,124.4,121.4,125.37,120.64,2166373.0
2018-12-31,123.12,121.61,123.34,120.56,1447293.0
2019-01-02,118.89,123.35,124.585,118.28,2085844.0
2019-01-03,121.85,124.36,126.12,120.319,2896865.0
2019-01-04,125.85,128.55,129.57,125.31,2184728.0
2019-01-07,129.33,134.1,135.1,129.33,2860439.0
2019-01-08,135.52,135.86,137.1752,133.67,2322575.0
2019-01-09,137.5,136.0,137.51,134.6401,3339351.0
2019-01-10,131.03,131.61,132.41,129.5,3402087.0
2019-01-11,130.97,132.16,133.15,130.57,2949722.0
2019-01-14,136.64,139.73,145.0,135.38,7152029.0
2019-01-15,139.36,141.13,141.65,138.51,2619611.0
2019-01-16,142.36,142.24,143.25,141.3682,1783478.0
2019-01-17,141.73,145.14,146.04,141.73,3012146.0
2019-01-18,147.52,152.07,152.18,147.07,3277072.0
2019-01-22,150.52,149.47,151.6554,148.32,1828647.0
2019-01-23,151.43,149.85,151.73,147.75,1602140.0
2019-01-24,150.0,148.43,150.26,147.23,2033747.0
2019-01-25,150.0,151.89,152.8104,149.2984,1731470.0
2019-01-28,150.34,149.7,150.77,148.62,1416965.0
2019-01-29,149.83,148.95,149.93,147.81,1297849.0
2019-01-30,150.14,148.61,150.3963,148.23,1379971.0
2019-01-31,148.31,147.81,148.9314,146.31,2517104.0
2019-02-01,147.45,146.12,147.85,144.36,1749894.0
2019-02-04,145.34,146.64,147.45,144.68,1689828.0
2019-02-05,147.55,146.89,151.57,146.6807,2138490.0
2019-02-06,146.96,145.76,147.2674,143.4704,1452882.0
2019-02-07,144.33,147.63,147.67,143.06,1803218.0
2019-02-08,147.13,148.62,150.0,147.0,1450372.0
2019-02-11,149.7,149.79,151.93,149.28,1509232.0
2019-02-12,150.86,157.32,157.55,150.57,4021901.0
2019-02-13,157.935,155.27,158.67,154.11,2090633.0
2019-02-14,153.51,154.85,156.42,152.35,1120999.0
2019-02-15,155.6,151.09,156.23,150.54,1926342.0
