time_key,open,close,high,low,volume
2020-09-30,10.0,9.5,11.42,9.11,338584433.0
2020-10-01,9.69,9.46,10.1,9.23,124297587.0
2020-10-02,9.06,9.2,9.28,8.94,55018343.0
2020-10-05,9.43,9.03,9.49,8.92,36316878.0
2020-10-06,9.04,9.9,10.18,8.9,90864039.0
2020-10-07,10.04,10.0,10.49,9.99,54672419.0
2020-10-08,10.29,10.0,10.4,9.99,34989186.0
2020-10-09,10.13,9.95,10.19,9.89,19653450.0
2020-10-12,10.04,9.89,10.05,9.66,20623565.0
2020-10-13,9.88,9.47,9.88,9.41,21847177.0
2020-10-14,9.6,9.34,9.66,9.29,13785097.0
2020-10-15,9.27,9.91,9.91,9.18,12924093.0
2020-10-16,9.94,9.71,9.95,9.66,11142464.0
2020-10-19,9.79,9.57,9.82,9.53,9126352.0
2020-10-20,9.6,9.27,9.66,9.27,11138223.0
2020-10-21,9.3,9.2,9.48,9.2,9189978.0
2020-10-22,9.37,9.68,9.75,9.22,17928578.0
2020-10-23,9.71,9.49,9.83,9.47,12618010.0
2020-10-26,9.72,9.95,9.97,9.6,23767344.0
2020-10-27,10.0,10.95,11.04,9.92,53695925.0
2020-10-28,10.66,10.85,10.985,10.1,30941720.0
2020-10-29,10.9,10.75,11.1,10.56,20515706.0
2020-10-30,10.61,10.13,10.68,9.85,19728372.0
2020-11-02,10.23,10.54,10.57,10.23,11677845.0
2020-11-03,10.57,10.5,10.94,10.44,21652807.0
2020-11-04,10.82,10.72,10.92,10.55,15783356.0
2020-11-05,10.9,11.88,12.13,10.85,48560380.0
2020-11-06,12.22,13.83,14.96,12.05,89977555.0
2020-11-09,14.96,14.67,15.9,14.11,60098963.0
2020-11-10,14.99,14.0,15.01,13.18,38078742.0
2020-11-11,14.57,15.96,15.97,14.4,47027940.0
2020-11-12,16.66,14.58,17.06,14.41,99287571.0
2020-11-13,14.49,15.8,16.0,14.49,76622565.0
2020-11-16,15.96,15.93,16.1,15.01,65325988.0
2020-11-17,16.29,17.85,18.75,16.18,116618543.0
2020-11-18,18.28,17.9,19.25,17.54,89957892.0
2020-11-19,18.5,18.98,18.98,17.96,56225400.0
2020-11-20,19.03,18.15,19.66,18.0,72103988.0
2020-11-23,18.63,21.04,21.45,18.57,84716298.0
2020-11-24,22.35,23.82,24.27,20.63,115468825.0
2020-11-25,23.96,29.05,29.75,23.69,202563731.0
2020-11-27,31.19,27.66,33.5,26.12,207834002.0
2020-11-30,28.24,27.11,30.15,24.11,137243001.0
2020-12-01,28.09,25.67,28.14,24.45,84539786.0
2020-12-02,22.24,22.51,23.4,21.15,149062083.0
2020-12-03,23.55,24.03,25.62,23.5,85634262.0
2020-12-04,24.88,23.85,25.24,23.51,56044061.0
2020-12-07,24.44,28.94,29.0,24.44,118463662.0
2020-12-08,30.63,28.59,31.24,27.25,124754317.0
2020-12-09,28.68,26.63,28.85,25.33,79634716.0
2020-12-10,25.5412,27.04,28.04,25.15,57774823.0
2020-12-11,27.15,27.2,28.27,26.06,52764350.0
