time_key,open,close,high,low,volume
2025-02-13,35.06,36.0,44.0,34.99,369091.0
2025-02-14,37.0,36.65,38.25,35.505,242680.0
2025-02-18,40.53,47.15,47.15,39.0,444489.0
2025-02-19,46.51,46.0,48.5,45.5,220849.0
2025-02-20,48.98,48.26,49.49,46.71,446228.0
2025-02-21,48.99,50.37,50.69,48.0,1252060.0
2025-02-24,52.0,48.6,53.0,46.21,33848474.0
2025-02-25,48.3,48.16,55.01,47.81,8198903.0
2025-02-26,46.15,46.58,49.91,45.3,8389104.0
2025-02-27,46.04,45.16,47.87,41.58,9676119.0
2025-02-28,45.23,46.85,48.7,43.75,7713908.0
2025-03-03,48.49,50.31,50.88,47.605,4812952.0
2025-03-04,46.69,48.69,50.1,45.0965,6074695.0
2025-03-05,47.6,48.47,49.3975,46.5,5071821.0
2025-03-06,47.41,46.5,49.06,45.24,4157319.0
2025-03-07,49.2,51.0,51.13,47.16,7825880.0
2025-03-10,50.49,53.0,53.67,49.55,5223837.0
2025-03-11,51.84,52.16,53.19,49.82,3153379.0
2025-03-12,53.0,50.44,53.1,50.38,2177508.0
2025-03-13,50.0,48.44,50.87,47.86,3547478.0
2025-03-14,49.43,54.82,54.94,49.43,4847708.0
2025-03-17,54.8,55.65,58.36,54.745,2930729.0
2025-03-18,55.14,56.42,57.89,54.57,2587306.0
2025-03-19,56.3,56.33,57.605,55.67,2520663.0
2025-03-20,56.51,56.21,57.17,54.92,2701980.0
2025-03-21,55.1,53.96,55.45,51.915,6372291.0
2025-03-24,54.61,52.99,55.685,51.84,3563069.0
2025-03-25,52.13,52.2,53.18,51.76,3079132.0
2025-03-26,53.53,52.62,53.7,51.98,1242406.0
2025-03-27,51.95,52.88,54.24,51.71,1618076.0
2025-03-28,52.21,48.97,52.89,48.455,3987293.0
2025-03-31,47.41,47.61,48.395,47.02,2113393.0
2025-04-01,47.55,48.11,49.36,46.58,2115570.0
2025-04-02,46.92,47.67,48.71,46.51,1725257.0
2025-04-03,44.8,38.26,44.8,37.55,7372389.0
2025-04-04,35.72,30.11,35.87,28.36,11428573.0
2025-04-07,29.22,31.48,32.98,27.885,6238614.0
2025-04-08,33.0,32.35,35.84,31.655,5979813.0
2025-04-09,31.92,36.58,39.65,31.26,5601561.0
2025-04-10,34.6,31.075,35.03,30.51,4153445.0
2025-04-11,30.56,31.97,32.05,28.27,4856278.0
2025-04-14,33.75,33.55,36.17,32.48,4102268.0
2025-04-15,33.3,33.23,34.56,32.89,1936788.0
2025-04-16,32.3,32.03,33.12,30.75,2321109.0
2025-04-17,31.75,31.29,32.66,30.39,2057341.0
2025-04-21,31.07,29.81,31.07,28.94,2579363.0
2025-04-22,30.26,29.62,31.12,29.315,2883663.0
2025-04-23,31.985,30.36,32.7777,30.2,2750177.0
2025-04-24,30.81,32.29,32.98,30.31,2590565.0
2025-04-25,32.26,32.85,33.37,31.6,1322079.0
2025-04-28,32.63,32.27,33.0,31.66,1421051.0
2025-04-29,31.39,32.94,33.04,31.39,1385943.0
2025-04-30,31.84,32.11,32.47,31.01,2322137.0
2025-05-01,32.48,32.59,34.19,32.48,1910345.0
2025-05-02,33.11,34.4,35.41,33.05,2193700.0
2025-05-05,33.83,34.61,35.23,33.525,1993778.0
2025-05-06,34.02,33.83,34.43,33.46,1707584.0
2025-05-07,34.0,34.97,35.56,33.3775,3640752.0
2025-05-08,34.97,36.66,37.76,33.13,4969006.0
2025-05-09,37.96,37.74,38.79,37.28,2039220.0
2025-05-12,41.14,41.27,42.24,40.0,5374655.0
2025-05-13,41.85,42.0,43.8,41.3,2186713.0
2025-05-14,42.0,41.93,43.43,41.01,1828442.0
2025-05-15,41.17,40.54,41.8633,39.75,1931046.0
2025-05-16,40.52,40.44,41.0,39.925,2132479.0
2025-05-19,39.33,38.78,39.5,38.53,1765367.0
2025-05-20,38.78,40.18,41.1108,38.45,1756398.0
2025-05-21,40.04,38.6,40.48,38.35,1816174.0
2025-05-22,38.4,37.84,39.284,37.77,1764945.0
2025-05-23,36.25,37.28,37.5667,35.79,1232929.0
2025-05-27,37.945,38.18,38.62,37.5,1411060.0
2025-05-28,38.4,38.58,38.91,37.8,1055785.0
2025-05-29,39.04,38.6,39.225,37.685,1501867.0
2025-05-30,38.19,37.69,38.45,36.68,5499582.0
2025-06-02,37.54,37.33,37.88,36.207,1620967.0
2025-06-03,37.45,38.64,39.24,36.87,1294047.0
2025-06-04,38.64,39.82,40.27,38.35,1860543.0
2025-06-05,39.375,39.12,40.45,37.33,5461035.0
2025-06-06,39.73,39.15,40.155,38.53,10955548.0
2025-06-09,40.27,41.82,42.235,39.55,10990269.0
