time_key,open,close,high,low,volume
2020-08-27,23.1,21.22,25.0,21.2,82219698.0
2020-08-28,23.98,22.79,24.4,22.02,44847272.0
2020-08-31,22.69,20.5,22.79,20.33,20815988.0
2020-09-01,20.98,21.61,21.79,20.1,15291396.0
2020-09-02,21.99,21.09,22.0,20.38,9090101.0
2020-09-03,20.93,20.03,21.05,20.0,7897129.0
2020-09-04,19.98,19.03,20.18,18.01,10957355.0
2020-09-08,17.91,17.73,18.56,17.37,8723960.0
2020-09-09,18.575,18.07,18.65,17.91,5888958.0
2020-09-10,18.3135,19.28,19.505,18.31,15465150.0
2020-09-11,19.49,19.1,19.55,18.36,4259731.0
2020-09-14,19.14,20.48,20.56,18.38,6296597.0
2020-09-15,20.59,21.12,21.14,20.26,4332355.0
2020-09-16,20.66,19.92,20.78,19.62,4062698.0
2020-09-17,19.01,19.24,19.67,19.01,2887950.0
2020-09-18,19.44,18.9,19.48,18.86,2789432.0
2020-09-21,18.27,18.15,18.38,17.425,5191224.0
2020-09-22,18.5,19.31,19.58,18.17,4131309.0
2020-09-23,19.42,18.41,19.42,18.1,3273928.0
2020-09-24,18.0,17.45,18.17,17.1101,3995250.0
2020-09-25,17.81,17.93,18.0,17.12,5330766.0
2020-09-28,19.02,19.06,19.45,18.5,5507480.0
2020-09-29,19.06,18.78,19.2,18.53,5856080.0
2020-09-30,19.94,20.07,20.09,19.16,10406023.0
2020-10-01,20.15,18.67,20.23,18.51,10024385.0
2020-10-02,18.0,18.19,18.56,17.98,4524988.0
2020-10-05,19.58,20.04,20.39,19.22,14572347.0
2020-10-06,20.44,19.7,20.91,19.2,7053987.0
2020-10-07,19.98,20.16,20.59,19.85,4938635.0
2020-10-08,20.51,19.86,20.63,19.72,3516681.0
2020-10-09,19.75,20.0,20.06,19.51,2932144.0
2020-10-12,20.45,19.88,20.53,19.76,4898774.0
2020-10-13,19.7,19.64,19.8,19.31,3823965.0
2020-10-14,20.31,22.05,22.55,20.18,18411579.0
2020-10-15,21.93,22.16,22.76,21.05,10449204.0
