date,strategy,topk,pool_size,picks,exec_day,variant,rebal,anchor
2026-09-11,Vortex,2,37,"META, BE",2026-10-12,-,21,-
2026-09-11,动量-1月反转,2,37,"MU, LITE",2026-10-12,-,21,-
2026-09-11,动量-1月反转,2,81,"SNDK, CRDO",2026-10-12,-,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-10-12,-,21,-
2026-09-11,动量-1月反转,2,81,"SNDK,CRDO",2026-10-12,nogate,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-10-12,gate10M,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-10-12,gate1M,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-10-12,nogate,21,-
2026-09-11,动量-1月反转,2,81,"SNDK,CRDO",2026-10-12,gate5M,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-10-12,gate5M,21,-
2026-09-11,Vortex,2,81,"SWKS,META",2026-09-23,gate5M,10,-
